projekt_nr      |abteilungsgruppe                                        |kostenstelle|abteilungsgruppe                                    |baugruppe       |artikel         |artikel_bezeichnung                                     |menge     |einheit |gewicht   |lagerplatz|filter|bestand|wohin                                                 |lz                          |lager_1_stueckliste         |lager_2_bedarfslager        |lager_3_referenzen          |status          |position  |bearbeitungsart |vorgang_id|anzahl_aktion
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |388303408       |SPANNPRATZE GS18NIMOCR36 FLZN                           |         3|stk     |      ,771|23IZ022A|23I|       596|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954208|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |388303408       |SPANNPRATZE GS18NIMOCR36 FLZN                           |         3|stk     |      ,771|23IZ022A|23I|       596|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954116|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |388303408       |SPANNPRATZE GS18NIMOCR36 FLZN                           |         3|stk     |      ,771|23IZ022A|23I|       596|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954209|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |388303408       |SPANNPRATZE GS18NIMOCR36 FLZN                           |         3|stk     |      ,771|23IZ022A|23I|       596|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954115|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |451227008       |BOLZEN DIN 1435 25X75X65 42CRMO4 GASN. SPF              |         1|stk     |       ,33|23IZ123A|23I|       640|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954122|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |451227008       |BOLZEN DIN 1435 25X75X65 42CRMO4 GASN. SPF              |         1|stk     |       ,33|23IZ123A|23I|       640|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954121|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |451227008       |BOLZEN DIN 1435 25X75X65 42CRMO4 GASN. SPF              |         1|stk     |       ,33|23IZ123A|23I|       640|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954215|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |451227008       |BOLZEN DIN 1435 25X75X65 42CRMO4 GASN. SPF              |         1|stk     |       ,33|23IZ123A|23I|       640|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954214|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |977961808       |GLEITSTUECK 80X55X  24 PA6G+OEL                         |         6|stk     |      ,564|23IZ124C|23I|       494|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954211|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |977961808       |GLEITSTUECK 80X55X  24 PA6G+OEL                         |         6|stk     |      ,564|23IZ124C|23I|       494|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954118|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |977961808       |GLEITSTUECK 80X55X  24 PA6G+OEL                         |         6|stk     |      ,564|23IZ124C|23I|       494|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954117|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |977961808       |GLEITSTUECK 80X55X  24 PA6G+OEL                         |         6|stk     |      ,564|23IZ124C|23I|       494|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954210|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96061693        |KABELSTRANG W32-C                                       |         1|stk     |      ,589|23IZ124E|23I|        29|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHR                         |Offen           | 578954540|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |97148723        |LEITBLECH 2X154X128 DC01 FE//ZNNI8//CN//T0              |         2|stk     |      ,524|23IZ125B|23I|        67|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954104|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |97148723        |LEITBLECH 2X154X128 DC01 FE//ZNNI8//CN//T0              |         2|stk     |      ,524|23IZ125B|23I|        67|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954197|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |97148723        |LEITBLECH 2X154X128 DC01 FE//ZNNI8//CN//T0              |         2|stk     |      ,524|23IZ125B|23I|        67|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954196|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |97148723        |LEITBLECH 2X154X128 DC01 FE//ZNNI8//CN//T0              |         2|stk     |      ,524|23IZ125B|23I|        67|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954103|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |955891208       |ROHR 25X3X210 E355+N VERZ                               |         1|stk     |      ,342|23IZ125D|23I|        44|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954126|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |955891208       |ROHR 25X3X210 E355+N VERZ                               |         1|stk     |      ,342|23IZ125D|23I|        44|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954125|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |380077408       |KEIL GX5CRNI19-10 SPF                                   |         6|stk     |       ,72|23IZ126E|23I|       304|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954119|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |380077408       |KEIL GX5CRNI19-10 SPF                                   |         6|stk     |       ,72|23IZ126E|23I|       304|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954120|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |380077408       |KEIL GX5CRNI19-10 SPF                                   |         6|stk     |       ,72|23IZ126E|23I|       304|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954212|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |380077408       |KEIL GX5CRNI19-10 SPF                                   |         6|stk     |       ,72|23IZ126E|23I|       304|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954213|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |973955308       |BLECH 25X150X78 S960QL                                  |         2|stk     |      4,08|23IZ127C|23I|       460|SVR-SHV--V01                                            |                            |999                         |MZS                         |SVL                         |Offen           | 578954109|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |973955308       |BLECH 25X150X78 S960QL                                  |         2|stk     |      4,08|23IZ127C|23I|       460|SVL-SHV--V01                                            |                            |999                         |MZS                         |SVL                         |Offen           | 578954108|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |973955308       |BLECH 25X150X78 S960QL                                  |         2|stk     |      4,08|23IZ127C|23I|       460|SHL-SHV--V01                                            |                            |999                         |MZS                         |SHL                         |Offen           | 578954201|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |973955308       |BLECH 25X150X78 S960QL                                  |         2|stk     |      4,08|23IZ127C|23I|       460|SHR-SHV--V01                                            |                            |999                         |MZS                         |SHL                         |Offen           | 578954202|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96059016        |KABELSTRANG W32-B                                       |         1|stk     |      ,589|23IZ129A|23I|        14|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954539|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96061694        |KABELSTRANG W32-D                                       |         1|stk     |      ,589|23IZ129A|23I|        14|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVR                         |Offen           | 578954541|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10875124        |VERTEILER 4-POL    TPU                                  |         1|stk     |       ,05|23IZ129C|23I|       799|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954522|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10875124        |VERTEILER 4-POL    TPU                                  |         1|stk     |       ,05|23IZ129C|23I|       799|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954525|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10875124        |VERTEILER 4-POL    TPU                                  |         1|stk     |       ,05|23IZ129C|23I|       799|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954524|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10875124        |VERTEILER 4-POL    TPU                                  |         1|stk     |       ,05|23IZ129C|23I|       799|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954523|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96058284        |KABELSTRANG W32-A                                       |         1|stk     |      ,589|23IZ131A|23I|        36|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954538|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10874834        |VORSPANNVENTIL pv=25BAR pmax=350BAR ZINI SPF            |         1|stk     |       1,6|23IZ133D|23I|       340|SHL-SHV--V01                                            |                            |999                         |MZS                         |SHL                         |Offen           | 578954488|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10874834        |VORSPANNVENTIL pv=25BAR pmax=350BAR ZINI SPF            |         1|stk     |       1,6|23IZ133D|23I|       340|SHR-SHV--V01                                            |                            |999                         |MZS                         |SHL                         |Offen           | 578954489|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10874835        |VORSPANNVENTIL pv=25BAR pmax=350BAR ZINI SPF            |         1|stk     |       1,8|23IZ137D|23I|       228|SVR-SHV--V01                                            |                            |999                         |MZS                         |SVL                         |Offen           | 578954394|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10874835        |VORSPANNVENTIL pv=25BAR pmax=350BAR ZINI SPF            |         1|stk     |       1,8|23IZ137D|23I|       228|SVL-SHV--V01                                            |                            |999                         |MZS                         |SVL                         |Offen           | 578954393|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96056106        |HALTER SCHWK. FE//ZNNI8//FN//T0                         |         1|stk     |     1,735|23IZ139B|23I|        34|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954095|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96056106        |HALTER SCHWK. FE//ZNNI8//FN//T0                         |         1|stk     |     1,735|23IZ139B|23I|        34|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SVL                         |Offen           | 578954094|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96019132        |HALTERUNG SCHWK.                                        |         1|stk     |     1,813|23IZ139D|23I|        40|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954187|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |96019132        |HALTERUNG SCHWK.                                        |         1|stk     |     1,813|23IZ139D|23I|        40|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954188|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |97090163        |ROHR 25.0X230 E355+N                                    |         1|stk     |      ,374|23IZ145D|23I|       106|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954219|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |97090163        |ROHR 25.0X230 E355+N                                    |         1|stk     |      ,374|23IZ145D|23I|       106|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954218|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10877429        |DROSSELRUECKSCHLAGVENTIL 30L/MIN                        |         1|stk     |         1|23IZ145E|23I|       121|SVR-SHV--V01                                            |                            |999                         |MZS                         |SVL                         |Offen           | 578954396|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10877429        |DROSSELRUECKSCHLAGVENTIL 30L/MIN                        |         1|stk     |         1|23IZ145E|23I|       121|SHR-SHV--V01                                            |                            |999                         |MZS                         |SHL                         |Offen           | 578954491|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10877429        |DROSSELRUECKSCHLAGVENTIL 30L/MIN                        |         1|stk     |         1|23IZ145E|23I|       121|SHL-SHV--V01                                            |                            |999                         |MZS                         |SHL                         |Offen           | 578954490|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10877429        |DROSSELRUECKSCHLAGVENTIL 30L/MIN                        |         1|stk     |         1|23IZ145E|23I|       121|SVL-SHV--V01                                            |                            |999                         |MZS                         |SVL                         |Offen           | 578954395|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |12105840        |ANSCHLUSSLEITUNG 4X0,34-0,8M PUR                        |         1|stk     |        ,4|23IZ393B|23I|        18|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954532|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |12105840        |ANSCHLUSSLEITUNG 4X0,34-0,8M PUR                        |         1|stk     |        ,4|23IZ393B|23I|        18|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954530|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |12105840        |ANSCHLUSSLEITUNG 4X0,34-0,8M PUR                        |         1|stk     |        ,4|23IZ393B|23I|        18|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954533|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |12105840        |ANSCHLUSSLEITUNG 4X0,34-0,8M PUR                        |         1|stk     |        ,4|23IZ393B|23I|        18|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954531|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10878519        |Y-VERTEILER 2X 4X0,34-1,25M PUR                         |         1|stk     |        ,4|23IZ396A|23I|       220|SVR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954537|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10878519        |Y-VERTEILER 2X 4X0,34-1,25M PUR                         |         1|stk     |        ,4|23IZ396A|23I|       220|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954535|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10878519        |Y-VERTEILER 2X 4X0,34-1,25M PUR                         |         1|stk     |        ,4|23IZ396A|23I|       220|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954534|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10878519        |Y-VERTEILER 2X 4X0,34-1,25M PUR                         |         1|stk     |        ,4|23IZ396A|23I|       220|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954536|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10813739        |DRUCKAUFNEHMER 0-750/750 BAR LSB PL:E SPF               |         2|stk     |       ,28|23IZ922D|23I|      1024|SHR-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954515|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10813739        |DRUCKAUFNEHMER 0-750/750 BAR LSB PL:E SPF               |         2|stk     |       ,28|23IZ922D|23I|      1024|SVL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954516|                |    127099|
054536          |LOGISTIK ALLES                                          |2KF     |LOGISTIK ALLES                                          |919713008       |10813739        |DRUCKAUFNEHMER 0-750/750 BAR LSB PL:E SPF               |         2|stk     |       ,28|23IZ922D|23I|      1024|SHL-SHV--V01                                            |                            |MZS                         |MZS                         |SHL                         |Offen           | 578954514|                |    127099|
